time,x,v,u
8.860000000000e+00,-1.328182773734e+00,1.124786550712e+00,-8.109615377349e-02
8.880000000000e+00,-1.305506050313e+00,1.142838690155e+00,-6.713477434589e-02
8.900000000000e+00,-1.282471127674e+00,1.160605607599e+00,-5.316023671743e-02
8.920000000000e+00,-1.259083761849e+00,1.178082159035e+00,-3.917527985275e-02
8.940000000000e+00,-1.235349810833e+00,1.195263292389e+00,-2.518264475864e-02
8.960000000000e+00,-1.211275232733e+00,1.212144048945e+00,-1.118507394678e-02
8.980000000000e+00,-1.186866083882e+00,1.228719564744e+00,2.814689103777e-03
9.000000000000e+00,-1.162128516936e+00,1.244985071941e+00,1.681390048428e-02
9.020000000000e+00,-1.137068778935e+00,1.260935900128e+00,3.080981639411e-02
9.040000000000e+00,-1.111693209339e+00,1.276567477623e+00,4.479969367856e-02
9.060000000000e+00,-1.086008238050e+00,1.291875332719e+00,5.878079036647e-02
9.080000000000e+00,-1.060020383388e+00,1.306855094899e+00,7.275036620764e-02
9.100000000000e+00,-1.033736250066e+00,1.321502496012e+00,8.670568320993e-02
9.120000000000e+00,-1.007162527125e+00,1.335813371415e+00,1.006440061759e-01
9.140000000000e+00,-9.803059858538e-01,1.349783661076e+00,1.145626032388e-01
9.160000000000e+00,-9.531734776888e-01,1.363409410635e+00,1.284587463983e-01
9.180000000000e+00,-9.257719320870e-01,1.376686772436e+00,1.423297120547e-01
9.200000000000e+00,-8.981083543834e-01,1.389612006515e+00,1.561727815431e-01
9.220000000000e+00,-8.701898236276e-01,1.402181481549e+00,1.699852416664e-01
9.240000000000e+00,-8.420234904015e-01,1.414391675770e+00,1.837643852264e-01
9.260000000000e+00,-8.136165746194e-01,1.426239177840e+00,1.975075115553e-01
